text,sentiment
This movie is great!,positive
I really enjoyed the book.,positive
The weather is terrible.,negative
I hate Mondays.,negative
The food was delicious.,positive
The service was slow.,negative
I feel happy today.,positive
I'm feeling sad.,negative
This song is amazing!,positive
I can't stand the traffic.,negative
The movie was fantastic!,positive
The concert was disappointing.,negative
I'm thrilled with the results.,positive
I'm upset about the situation.,negative
The product exceeded my expectations.,positive
I'm disappointed with the service.,negative
The weather ruined my plans.,negative
I'm excited about the new project.,positive
I'm frustrated with the delay.,negative
The experience was fantastic.,positive
I'm ecstatic about the news.,positive
The food was terrible.,negative
I'm concerned about the impact.,negative
The service was exceptional.,positive
I'm delighted with the outcome.,positive
The concert was a success!,positive
I'm unhappy with the experience.,negative
The support was exceptional.,positive
I'm optimistic about the outcome.,positive
I'm pessimistic about the future.,negative
I'm satisfied with the service.,positive
The weather was awful.,negative
I'm frustrated with the situation.,negative
The food was terrible.,negative
I'm thrilled with the response.,positive
The movie was excellent!,positive
I'm upset about the delay.,negative
The experience was fantastic.,positive
I'm ecstatic about the news.,positive
The staff was rude.,negative
I'm anxious about the decision.,negative
The show was outstanding!,positive
I'm concerned about the impact.,negative
The product was outstanding.,positive
I'm hopeful for a positive outcome.,positive
The concert was disappointing.,negative
I'm delighted with the outcome.,positive
The service was exceptional.,positive
I'm unhappy with the outcome.,negative
The weather was perfect!,positive
I'm feeling positive about the situation.,positive
The experience exceeded my expectations.,positive
The staff was helpful.,positive
I'm uncertain about the decision.,negative
The movie was disappointing.,negative
I'm pleased with the outcome.,positive
The service was excellent.,positive
I'm concerned about the impact.,negative
The food was average.,neutral
I'm confident in our team.,positive
I'm worried about the future.,negative
The performance was lackluster.,negative
The product was defective.,negative
I'm hopeful for a resolution.,positive
The concert was a success!,positive
I'm unhappy with the experience.,negative
The support was exceptional.,positive
I'm optimistic about the outcome.,positive
I'm pessimistic about the future.,negative
I'm satisfied with the service.,positive
The weather was awful.,negative
I'm frustrated with the situation.,negative
The food was terrible.,negative
I'm thrilled with the response.,positive
The movie was excellent!,positive
I'm upset about the delay.,negative
The experience was fantastic.,positive
I'm ecstatic about the news.,positive
The staff was rude.,negative
I'm anxious about the decision.,negative
The show was outstanding!,positive
I'm concerned about the impact.,negative
The product was outstanding.,positive
I'm hopeful for a positive outcome.,positive
The concert was disappointing.,negative
I'm delighted with the outcome.,positive
The service was exceptional.,positive
I'm unhappy with the outcome.,negative
The weather was perfect!,positive
I'm feeling positive about the situation.,positive
The experience exceeded my expectations.,positive
The staff was helpful.,positive
I'm uncertain about the decision.,negative
The movie was disappointing.,negative
I'm pleased with the outcome.,positive
The service was excellent.,positive
